img_id,group_id,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5
PAT_8_15_820.png,B,2,2,2,2,2
PAT_9_17_80.png,B,1,1,1,1,1
PAT_15_23_240.png,B,1,1,1,1,1
PAT_29_40_561.png,B,2,2,2,2,2
PAT_40_56_499.png,B,2,2,2,2,2
PAT_1013_82_876.png,B,0,0,0,0,0
PAT_63_98_127.png,B,1,1,1,1,1
PAT_113_172_610.png,B,1,1,1,1,1
PAT_135_202_105.png,B,0,0,0,0,0
PAT_154_235_162.png,B,0,0,0,0,0
PAT_159_246_630.png,B,0,0,0,0,0
PAT_160_249_76.png,B,3,3,3,3,3
PAT_177_275_905.png,B,0,0,0,0,0
PAT_179_277_436.png,B,0,0,0,0,1
PAT_181_280_417.png,B,2,2,2,2,3
PAT_196_300_749.png,B,0,0,0,0,0
PAT_1070_305_907.png,B,2,2,2,2,2
PAT_1071_312_841.png,B,0,0,0,0,0
PAT_211_317_649.png,B,0,0,0,0,0
PAT_215_330_341.png,B,1,1,1,1,1
PAT_219_337_358.png,B,0,1,0,0,0
PAT_1094_381_446.png,B,0,1,1,1,0
PAT_1170_609_378.png,B,0,0,0,0,0
PAT_300_648_84.png,B,1,1,1,1,1
PAT_308_661_184.png,B,1,1,1,1,1
PAT_313_669_908.png,B,3,3,3,3,3
PAT_1185_679_115.png,B,0,0,0,0,0
PAT_1190_700_663.png,B,1,1,1,1,0
PAT_336_705_711.png,B,0,0,0,0,0
PAT_349_724_133.png,B,0,0,0,0,0
PAT_351_728_683.png,B,0,0,0,0,0
PAT_367_753_130.png,B,0,0,0,0,0
PAT_373_761_708.png,B,0,0,0,0,0
PAT_377_768_643.png,B,0,0,0,0,0
PAT_394_794_235.png,B,1,1,1,1,1
PAT_398_799_163.png,B,1,1,1,1,1
PAT_402_803_739.png,B,0,0,0,0,0
PAT_406_808_560.png,B,2,3,2,2,3
PAT_419_833_148.png,B,0,1,0,1,0
PAT_425_841_644.png,B,0,0,0,0,0
PAT_1249_862_658.png,B,1,1,1,1,1
PAT_192_884_310.png,B,1,1,1,1,1
PAT_467_904_535.png,B,0,0,0,0,0
PAT_483_925_716.png,B,0,0,0,0,0
PAT_201_946_262.png,B,3,3,3,3,3
PAT_503_949_409.png,B,0,0,0,0,0
PAT_512_962_998.png,B,0,0,0,0,0
PAT_522_986_305.png,B,0,1,1,1,0
PAT_523_988_900.png,B,1,1,1,1,1
PAT_528_992_124.png,B,1,1,1,1,2
PAT_545_1030_854.png,B,0,0,0,0,0
PAT_545_1031_428.png,B,0,0,0,0,0
PAT_567_1076_545.png,B,0,0,0,0,1
PAT_1304_1081_84.png,B,2,2,2,2,2
PAT_571_1096_10.png,B,0,1,1,1,1
PAT_571_1097_652.png,B,0,0,0,0,0
PAT_579_1100_988.png,B,1,1,1,1,1
PAT_86_1109_306.png,B,0,0,0,0,0
PAT_1322_1137_201.png,B,0,0,0,0,0
PAT_698_1150_881.png,B,1,1,1,1,1
PAT_622_1185_922.png,B,1,1,1,1,1
PAT_631_1227_585.png,B,0,0,0,0,0
PAT_1364_1246_927.png,B,0,1,1,1,1
PAT_683_1297_195.png,B,0,0,0,0,0
PAT_684_1302_588.png,B,2,2,2,2,2
PAT_691_1312_389.png,B,3,3,3,3,3
PAT_527_1359_165.png,B,1,2,2,2,2
PAT_1401_1374_593.png,B,0,0,0,0,1
PAT_270_1382_561.png,B,0,0,0,0,0
PAT_270_1387_430.png,B,0,0,0,0,0
PAT_736_1392_562.png,B,0,0,0,0,0
PAT_723_1396_338.png,B,0,0,0,0,0
PAT_752_1426_714.png,B,2,2,2,2,2
PAT_766_1444_52.png,B,0,0,0,0,0
PAT_286_1459_926.png,B,0,0,0,0,0
PAT_1423_1472_18.png,B,2,2,1,1,2
PAT_782_1494_418.png,B,2,2,1,1,2
PAT_1431_1495_931.png,B,1,1,1,1,1
PAT_802_1516_910.png,B,0,0,1,0,1
PAT_805_1517_647.png,B,0,0,0,0,0
PAT_1439_1522_211.png,B,2,2,1,1,1
PAT_809_1527_902.png,B,0,0,0,0,0
PAT_817_1537_943.png,B,1,1,1,1,1
PAT_738_1552_502.png,B,0,0,0,0,0
PAT_832_1569_413.png,B,1,1,1,1,1
PAT_306_1646_971.png,B,2,2,2,2,2
PAT_1475_1651_727.png,B,0,0,0,0,0
PAT_368_1652_525.png,B,2,2,2,2,2
PAT_1481_1675_371.png,B,0,0,0,0,0
PAT_1486_1684_182.png,B,0,0,0,0,0
PAT_911_1728_101.png,B,0,0,0,0,0
PAT_918_1742_456.png,B,0,1,0,0,1
PAT_1529_1798_206.png,B,0,0,0,0,0
PAT_958_1812_62.png,B,3,3,3,3,3
PAT_967_1827_247.png,B,0,0,0,0,0
PAT_951_1836_991.png,B,2,2,2,2,2
PAT_1546_1871_376.png,B,1,1,0,0,1
PAT_1554_2392_767.png,B,2,2,2,2,2
PAT_1705_3143_139.png,B,1,1,1,1,2
PAT_1719_3203_18.png,B,0,0,0,0,0
PAT_1727_3233_399.png,B,2,2,2,2,2
PAT_1805_3477_772.png,B,1,1,1,1,1
PAT_417_3537_45.png,B,1,1,1,1,1
PAT_1814_3564_609.png,B,2,2,2,2,2
PAT_621_3592_955.png,B,1,1,0,1,0
PAT_1846_3622_35.png,B,1,1,1,1,1
PAT_639_3674_452.png,B,0,0,0,0,0
PAT_1918_3836_82.png,B,2,2,1,2,1
PAT_1955_3946_319.png,B,0,1,1,1,0
PAT_691_3994_791.png,B,3,3,3,3,3
PAT_715_4072_827.png,B,2,2,3,2,3
PAT_2003_4107_766.png,B,0,0,0,0,0
PAT_2009_4134_828.png,B,1,1,1,1,1
PAT_2082_4491_519.png,B,0,0,0,0,0
PAT_2088_4525_507.png,B,0,1,0,1,1
PAT_2123_4647_95.png,B,0,0,0,0,0
PAT_2159_4792_718.png,B,3,3,3,3,3
PAT_1051_220_356.png,N,0,0,0,0,0
PAT_1066_281_698.png,N,1,1,1,1,1
PAT_108_161_423.png,N,2,2,1,1,2
PAT_1105_420_520.png,N,0,0,0,0,0
PAT_118_180_386.png,N,0,0,0,0,0
PAT_118_180_500.png,N,0,0,0,0,0
PAT_1217_762_198.png,N,2,2,2,2,2
PAT_1223_770_120.png,N,1,1,0,1,0
PAT_1247_852_178.png,N,1,1,1,1,1
PAT_1256_879_199.png,N,0,0,0,0,0
PAT_1300_1056_532.png,N,0,0,0,0,0
PAT_131_197_974.png,N,1,0,1,1,1
PAT_1326_1156_783.png,N,0,0,0,0,0
PAT_1329_1168_620.png,N,1,1,0,0,1
PAT_1345_1223_175.png,N,0,0,0,0,1
PAT_1364_1246_420.png,N,0,0,0,1,0
PAT_1364_1246_447.png,N,0,0,0,1,1
PAT_1371_1278_533.png,N,1,1,1,1,1
PAT_1373_1283_85.png,N,0,0,0,0,0
PAT_1411_1414_355.png,N,0,0,0,0,0
PAT_1414_1432_969.png,N,0,0,0,0,0
PAT_1415_1437_527.png,N,0,0,0,0,0
PAT_1464_1612_284.png,N,0,0,0,0,0
PAT_1481_1674_735.png,N,0,0,0,0,0
PAT_1505_1733_128.png,N,0,0,0,0,0
PAT_1514_1760_35.png,N,0,0,1,1,0
PAT_1516_1765_530.png,N,1,1,1,1,1
PAT_154_236_800.png,N,1,0,0,1,0
PAT_155_238_413.png,N,3,2,2,2,2
PAT_1563_2425_443.png,N,0,0,0,0,0
PAT_1586_2624_615.png,N,0,0,0,0,0
PAT_1593_2651_122.png,N,3,2,2,2,2
PAT_162_252_773.png,N,1,1,1,1,1
PAT_163_254_719.png,N,1,1,1,1,1
PAT_1689_3075_38.png,N,1,1,2,1,2
PAT_1693_3103_879.png,N,0,0,0,0,0
PAT_1708_3153_799.png,N,2,1,1,1,2
PAT_1780_3381_999.png,N,2,2,2,0,1
PAT_1786_3420_346.png,N,1,1,1,1,2
PAT_179_278_331.png,N,1,1,1,1,0
PAT_1818_3570_577.png,N,0,0,0,0,0
PAT_181_281_54.png,N,3,3,3,3,3
PAT_1869_3663_335.png,N,3,2,3,2,3
PAT_191_293_391.png,N,0,0,0,0,0
PAT_1922_3848_451.png,N,1,0,1,1,0
PAT_1942_3918_497.png,N,1,1,1,1,1
PAT_194_298_945.png,N,0,0,0,0,0
PAT_197_301_198.png,N,0,0,0,0,0
PAT_2020_4176_865.png,N,1,0,0,1,1
PAT_2022_4184_111.png,N,2,2,2,2,1
PAT_2034_4269_670.png,N,1,1,0,1,1
PAT_2053_4360_281.png,N,1,1,0,1,1
PAT_2062_4397_39.png,N,0,0,0,0,0
PAT_2106_4590_227.png,N,0,0,0,0,0
PAT_2127_4662_596.png,N,0,0,0,0,0
PAT_237_363_858.png,N,0,0,0,0,0
PAT_257_395_866.png,N,0,0,0,0,0
PAT_259_399_801.png,N,0,0,0,0,0
PAT_263_1480_753.png,N,1,1,1,1,1
PAT_267_1062_418.png,N,0,0,0,0,0
PAT_271_418_14.png,N,1,1,0,1,1
PAT_280_431_466.png,N,0,0,0,0,1
PAT_307_1685_651.png,N,1,0,1,1,0
PAT_311_666_191.png,N,1,1,1,1,1
PAT_320_681_724.png,N,2,2,2,2,2
PAT_325_689_528.png,N,0,0,0,0,1
PAT_328_1738_890.png,N,0,0,0,0,0
PAT_337_706_944.png,N,0,0,0,0,0
PAT_354_1817_500.png,N,2,2,2,1,1
PAT_364_748_278.png,N,0,0,0,0,0
PAT_368_1652_733.png,N,2,2,3,2,2
PAT_385_783_22.png,N,0,0,0,0,0
PAT_38_53_198.png,N,0,0,0,0,0
PAT_40_1026_312.png,N,0,0,0,0,0
PAT_412_817_232.png,N,0,0,0,0,0
PAT_430_848_550.png,N,0,0,0,0,0
PAT_468_905_765.png,N,0,0,0,0,0
PAT_46_879_225.png,N,1,0,1,1,0
PAT_46_879_386.png,N,1,1,1,1,1
PAT_46_880_308.png,N,0,0,0,0,0
PAT_482_2928_201.png,N,1,1,2,1,2
PAT_492_1782_752.png,N,2,2,2,2,2
PAT_495_941_26.png,N,1,1,1,1,1
PAT_514_967_908.png,N,2,2,2,2,2
PAT_529_994_419.png,N,0,0,0,1,1
PAT_564_1079_430.png,N,0,0,0,0,1
PAT_58_91_845.png,N,1,1,1,1,1
PAT_598_1137_888.png,N,1,1,1,1,1
PAT_624_1179_323.png,N,1,0,1,1,1
PAT_636_1204_666.png,N,0,0,0,0,0
PAT_639_3676_760.png,N,1,0,1,1,1
PAT_658_1266_149.png,N,0,0,0,0,0
PAT_677_1350_67.png,N,1,0,1,0,1
PAT_684_1303_178.png,N,1,0,1,1,0
PAT_686_1355_168.png,N,0,0,0,0,0
PAT_690_1309_154.png,N,0,0,0,0,0
PAT_69_1053_332.png,N,1,0,1,1,1
PAT_741_1401_619.png,N,3,3,3,2,3
PAT_742_1470_425.png,N,1,1,1,1,2
PAT_758_1441_891.png,N,2,2,2,2,1
PAT_782_1492_890.png,N,1,2,1,1,1
PAT_797_1511_805.png,N,3,3,2,2,2
PAT_79_120_739.png,N,1,1,1,1,1
PAT_827_1600_1000.png,N,0,0,0,0,0
PAT_858_1631_427.png,N,2,2,2,1,2
PAT_858_1632_977.png,N,0,0,0,0,0
PAT_860_1641_998.png,N,0,0,0,0,0
PAT_861_1639_823.png,N,1,1,1,1,1
PAT_876_1665_386.png,N,0,0,0,0,0
PAT_880_1675_704.png,N,3,3,3,3,2
PAT_891_1700_180.png,N,1,1,1,1,1
PAT_903_1719_943.png,N,1,1,1,1,1
PAT_926_1758_714.png,N,2,2,2,2,2
PAT_942_1792_411.png,N,1,2,1,1,1
PAT_978_1844_599.png,N,0,0,0,0,0
PAT_994_1866_730.png,N,0,0,0,0,0
PAT_995_1867_165.png,N,0,0,0,0,0
